scenario,ercot_time,seed,n_dc,n_jobs,budget,workload_datacenter_ids,workload_datacenter_dir,ercot_datacenters,delay_weight,job_graph_prior_enabled,job_graph_lookahead_batches,job_graph_corehour_cap,job_graph_path_weight_mode,reward_prior_mean,mix_warmup_rounds,mix_trust_max,mix_reward_score_mode,mix_whittle_guard,mix_reward_conf_scale,mix_trans_conf_scale,exp4_initial_weight_mode,exp4_initial_weight_scale,policy,avg_reward,cum_reward,oracle_avg_reward,cum_reward_over_oracle_pct,avg_wall_time_s
late_afternoon_peak,19:00,44,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,40,0.98,greedy,False,1.0,2.0,uniform,0.0,Oracle Whittle,32.003466377832694,32003.466377832694,32.003466377832694,100.0,0.08882370799999961
late_afternoon_peak,19:00,44,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,40,0.98,greedy,False,1.0,2.0,uniform,0.0,TW only,31.34022253411339,31340.22253411339,32.003466377832694,97.92758748102767,17.477622334000003
late_afternoon_peak,19:00,44,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,40,0.98,greedy,False,1.0,2.0,uniform,0.0,State Thompson,31.43452546692418,31434.525466924177,32.003466377832694,98.22225222670693,0.11093516599999731
late_afternoon_peak,19:00,44,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,40,0.98,greedy,False,1.0,2.0,uniform,0.0,Local + Global + TW,31.34022253411339,31340.22253411339,32.003466377832694,97.92758748102767,17.808682417
late_afternoon_peak,19:00,45,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,40,0.98,greedy,False,1.0,2.0,uniform,0.0,Oracle Whittle,31.91458354644002,31914.583546440022,31.91458354644002,100.0,0.08792850000000385
late_afternoon_peak,19:00,45,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,40,0.98,greedy,False,1.0,2.0,uniform,0.0,TW only,31.241121712366386,31241.121712366385,31.91458354644002,97.88979908481758,16.870649625
late_afternoon_peak,19:00,45,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,40,0.98,greedy,False,1.0,2.0,uniform,0.0,State Thompson,20.423415627862887,20423.415627862887,31.91458354644002,63.993990703792406,0.10924716700000658
late_afternoon_peak,19:00,45,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,40,0.98,greedy,False,1.0,2.0,uniform,0.0,Local + Global + TW,31.241121712366386,31241.121712366385,31.91458354644002,97.88979908481758,16.825041874999997
