source_file,model,segment_id,maxcpu,avgcpu,p95maxcpu,vmcorecountbucket,vmmemorybucket,lifetime,corehour,allocated_gpu_hour,avg_power_W,measured_energy_Wh,power_saving_index
bert_trace1.csv,bert,0,100.0,79.22222222222223,100.0,2,32,0.36358777781327567,0.5760846346241457,0.7271755556265513,139.6833010620935,101.5742820615787,10.552439303064007
bert_trace1.csv,bert,1,100.0,84.35291474324931,100.0,2,32,0.3638194444444444,0.613784611583171,0.7276388888888888,145.208528126151,105.65937206290349,8.26630601421496
bert_trace1.csv,bert,2,100.0,85.64300012255403,100.0,2,32,0.36386833336618213,0.6232555143814693,0.7277366667323643,146.79886841782917,106.83091918247393,7.668857468051096
bert_trace1.csv,bert,3,100.0,84.30679357816905,100.0,2,32,0.3638533333275053,0.6135061573114146,0.7277066666550106,145.3707966011702,105.78729782362112,8.300709507768971
bert_trace1.csv,bert,4,100.0,84.73144327791168,100.0,2,32,0.3638755555285348,0.616634019869693,0.7277511110570696,145.81203807345327,106.11487271345135,8.101104765412572
bert_trace2.csv,bert,0,99.0,61.965226167538304,93.0,2,8,0.32433944443861645,0.4019553405938518,0.6486788888772329,62.67160886319812,40.6537496015279,7.731280857678218
bert_trace2.csv,bert,1,99.0,77.2291494632535,94.0,2,8,0.32370000004768373,0.49998151369875465,0.6474000000953675,68.45474722451513,44.31760335967945,5.045747611250374
bert_trace2.csv,bert,2,99.0,77.12936966694193,94.0,2,8,0.32377388887935216,0.49944951927757864,0.6475477777587043,68.42718919166887,44.30987429933961,5.066973776022334
bert_trace2.csv,bert,3,99.0,45.47557003257329,92.0,2,8,0.323396111064487,0.29413244993949855,0.646792222128974,57.974682754507164,37.497573886009995,10.222669206480804
bert_trace2.csv,bert,4,99.0,33.73845024544662,91.0,2,8,0.32339583337306976,0.2182174846768412,0.6467916667461395,54.1199816488501,35.00435313493024,11.597213434380684
bert_trace3.csv,bert,0,99.0,59.81048182586644,92.0,2,8,0.26342000001006655,0.31510554246343647,0.5268400000201331,63.30914342068184,33.35378912102663,6.702363570278591
bert_trace3.csv,bert,1,99.0,76.51372217526064,94.0,2,8,0.26349722219838034,0.4032230650647958,0.5269944443967607,68.16854606931501,35.92444506113365,4.218657487026855
bert_trace3.csv,bert,2,99.0,75.94482952944492,93.0,2,8,0.26352416667673323,0.40026595830307066,0.5270483333534665,68.11623950408502,35.90055050493356,4.317969311914747
bert_trace3.csv,bert,3,99.0,76.39864750633981,94.0,2,8,0.2635297222269906,0.40266628711727004,0.5270594444539812,67.74387376725764,35.705048472931445,4.213437174064392
bert_trace3.csv,bert,4,99.0,72.6754395852119,93.0,2,8,0.26348944438828364,0.3829842239396352,0.5269788887765673,66.93976273669948,35.275841781952956,4.819484349767397
inception3_trace1.csv,inception3,0,99.0,87.1599286351472,99.0,1,32,2.4140077777703604,2.104047456351549,2.4140077777703604,196.467936961046,474.27512790646193,60.89726488893661
inception3_trace1.csv,inception3,1,100.0,72.35556348498365,99.0,1,32,2.4142808333370422,1.7468665010709759,2.4142808333370422,172.04639369610075,415.368310745255,114.82622896746788
inception3_trace1.csv,inception3,2,100.0,69.64539994052929,99.0,1,32,2.414068333307902,1.681287545569958,2.414068333307902,166.9404530478769,403.0056612509543,122.33075668975252
inception3_trace1.csv,inception3,3,99.0,94.74400237882843,99.0,1,32,2.4133511110809116,2.286505434091981,2.4133511110809116,208.48050502527488,503.1366584414567,26.444850798925096
inception3_trace1.csv,inception3,4,100.0,94.78465655664586,99.0,1,32,2.41358083334234,2.287704303600568,2.41358083334234,208.59286922390532,503.45575113070316,26.256946506784505
inception3_trace2.csv,inception3,0,100.0,40.2902352828807,91.0,1,32,0.9029788888825311,0.3638123188855137,0.9029788888825311,105.30162150975833,95.08514118841042,56.77511408454056
inception3_trace2.csv,inception3,1,100.0,56.916616256486996,97.0,1,32,0.9028800000084771,0.5138887448613947,0.9028800000084771,133.30181190104707,120.3555399303474,51.8532391247686
inception3_trace2.csv,inception3,2,100.0,60.056480626572004,96.0,1,32,0.9030197221702999,0.5423218644993305,0.9030197221702999,137.6641879716,124.31347677491418,49.65517767936976
inception3_trace2.csv,inception3,3,100.0,73.18039415454169,98.0,1,32,0.902925833331214,0.6607646837549627,0.902925833331214,160.80632398356985,145.196184087794,38.941044274992414
inception3_trace2.csv,inception3,4,100.0,68.25767320427916,97.0,1,32,0.9030111111534966,0.6163743732494837,0.9030111111534966,151.91623121497628,137.18204475168724,43.544772950132575
inception3_trace3.csv,inception3,0,100.0,83.37080449924487,100.0,2,32,0.6579763888650471,1.0971204176237392,1.3159527777300941,165.37853053219993,217.63033663076968,18.095087073641103
inception3_trace3.csv,inception3,1,100.0,89.3165926560422,100.0,2,32,0.6580483333269755,1.1754926987150591,1.316096666653951,179.21033721795305,235.85812744247852,12.598842254255544
inception3_trace3.csv,inception3,2,100.0,90.75772057166043,100.0,2,32,0.6583713889122009,1.1950457309453901,1.3167427778244019,182.31077431134867,240.05639539404285,11.093341423958563
inception3_trace3.csv,inception3,3,100.0,91.17285063793337,100.0,2,32,0.6584199999438392,1.200600566238155,1.3168399998876783,183.31374577340932,241.39487296366622,10.654142994436912
inception3_trace3.csv,inception3,4,100.0,91.7402732067986,100.0,2,32,0.6580888888570997,1.207465089162177,1.3161777777141994,184.29803953834457,242.56898411666202,10.017767686540184
resnet50_trace1.csv,resnet50,0,100.0,71.21364607295432,100.0,2,32,0.37208972222275205,0.529957315715099,0.7441794444455041,151.97988498192672,113.10030637274184,16.278727242515235
