model,avgcpu,corehour,avg_power_W,measured_energy_Wh,power_saving_index,vmcategory,qos_cost,power_floor_W,power_calibration_scale
unlabeled,0.0,1e-06,294.1233068783067,10.09576828196764,5.04788414098382,Delay-insensitive,1e-07,266.9,10.804099156399056
unlabeled,0.0,1e-06,298.03028539994693,31.727825574646722,28.737127493238656,Delay-insensitive,1e-07,266.9,9.573644493489118
unlabeled,0.0006462632137746,5.3632019762914176e-05,305.8309112311319,63.458168540744865,63.457759171199,Interactive,5.3632019762914176e-05,266.9,7.855734724918734
unlabeled,0.0101221731522209,0.0032952823740834,297.3681767575004,207.77396291214322,117.02947993273011,Interactive,0.0026362258992667,266.9,9.759959682664524
unlabeled,0.0194563578324814,0.0081550062865091,297.6730430056988,312.12335055464473,156.03120772297638,Delay-insensitive,0.0008155006286509,266.9,9.67317541364282
unlabeled,23.70732026785392,1.2933176553871886,346.14404531143606,47.21094833142326,17.97750142522404,Delay-insensitive,0.1293317655387188,266.9,4.368076414461927
unlabeled,35.67248208067062,2.046239890607405,355.61717951730435,50.2662657771748,20.117968592519727,Delay-insensitive,0.2046239890607405,266.9,4.008436488312175
unlabeled,71.48144022794378,2.932942123523006,408.65105367089933,37.541459207093816,11.606262851966578,Interactive,1.466471061761503,266.9,2.8828784202172955
inception3|unlabeled,59.06578633009084,7.583380027128661,380.32446620221884,145.59072170774198,75.85968370300095,Delay-insensitive,0.7583380027128661,266.9,3.3531078341083584
unlabeled,85.32800636855006,2.6196676582665317,416.5176895034242,27.92924788772495,3.6837813375206383,Delay-insensitive,0.2619667658266531,266.9,2.7838799735902313
unlabeled,84.44818046774645,2.126044399745317,428.91835467064686,22.5610335765976,3.0971372183618637,Interactive,1.2756266398471905,266.9,2.6473442193790815
unlabeled,87.91118701964133,3.6557171643422857,394.17065328778835,40.978180126954676,4.953785562054316,Interactive,2.9245737314738287,266.9,3.097105602156983
inception3|resnet50,67.88172434277178,22.34793711070392,394.1356258849471,330.05943328467,95.5054748449783,Interactive,15.64355597749274,266.9,3.0976829260174696
inception3|unlabeled,47.089818589391456,26.650653076397948,374.2712520982089,527.7599602617959,291.48343678938903,Delay-insensitive,2.6650653076397948,266.9,3.4857677896489037
resnet50|unlabeled,52.92682452237966,26.64305627747823,381.9778414248281,488.1699676179638,223.39963581424425,Interactive,26.64305627747823,266.9,3.3192996731203555
inception3|unlabeled,78.57561531362417,12.694998124304234,448.6208466999252,174.7304509382242,54.349729001457966,Delay-insensitive,1.2694998124304235,266.9,2.468736277906138
resnet50|unlabeled,56.84147963403325,31.49430276924737,385.3398612307069,492.62974707495044,213.42605629318192,Interactive,22.04601193847316,266.9,3.2534643086089923
unlabeled,63.809470151933525,17.071960230139034,414.1861099570279,265.03746420976745,166.0332837437138,Interactive,8.535980115069517,266.9,2.812119283195615
unlabeled,35.74026455054739,37.57686778486915,337.9717655257108,876.2910769975764,563.0298061960096,Delay-insensitive,3.757686778486916,266.9,4.755359080019572
resnet50,82.98030315478147,24.827523162509383,437.48174375616094,327.2342350633799,27.84716645751379,Delay-insensitive,2.4827523162509384,266.9,2.5646457476804887
resnet50|unlabeled,62.4066151382173,34.53551752425516,364.3316068276853,531.5881827808092,230.62424623344018,Delay-insensitive,3.4535517524255166,266.9,3.7393574702306984
inception3|unlabeled,54.17468448911435,33.98497652180332,378.4895432415391,558.5839922511508,268.5370583597404,Delay-insensitive,3.398497652180332,266.9,3.3918011692393657
resnet50|unlabeled,62.63707929573996,34.64410865153419,364.62518947455123,531.5656434970051,229.84213115350045,Interactive,31.17969778638077,266.9,3.731127986909697
resnet50,83.3842014459415,24.96857286871068,438.5819579773255,328.32262833623,27.276872990102294,Delay-insensitive,2.496857286871068,266.9,2.5546188029568615
resnet50|unlabeled,64.168135890926,31.553324378202888,375.0949069511865,509.7299423473154,213.71670792580667,Interactive,31.553324378202888,266.9,3.4668443970326193
resnet50|vgg16,84.7834984972506,28.55996598516773,416.5110581772326,356.4627078480416,51.50921311174035,Delay-insensitive,2.855996598516773,266.9,2.7839590418765994
vgg16,88.38643459980833,32.852029989231866,445.0631860759879,413.5606039727694,48.0078087088118,Delay-insensitive,3.285202998923187,266.9,2.4980648128180927
resnet50,92.61107526881722,25.562375949194674,469.89680473118295,324.25060298775026,11.979260180874945,Delay-insensitive,2.556237594919468,266.9,2.3147990203759137
