model,avgcpu,corehour,avg_power_W,measured_energy_Wh,power_saving_index,vmcategory,qos_cost,power_floor_W,power_calibration_scale
bert,33.73845024544662,8.728699387073648,321.0199816488501,207.63304898947487,68.79043803152855,Delay-insensitive,0.8728699387073648,266.9,5.931635079474771
bert,59.81048182586644,12.604221698537458,330.2091434206818,173.96738512640013,34.95832693121976,Interactive,12.604221698537458,266.9,5.215820742139579
bert,45.47557003257329,11.765297997579944,324.87468275450715,210.12641797223316,57.28511580516629,Interactive,8.23570859830596,266.9,5.603733687171409
bert,72.6754395852119,15.319368957585407,333.83976273669947,175.92650719641878,24.03557237225598,Delay-insensitive,1.531936895758541,266.9,4.987166806219841
bert,61.965226167538304,16.07821362375407,329.5716088631981,213.78614504286136,40.656538376095426,Interactive,9.646928174252444,266.9,5.258706690977075
bert,75.94482952944492,16.010638332122827,335.016239504085,176.56975067697377,21.23707726239007,Delay-insensitive,1.6010638332122828,266.9,4.918302036975979
bert,76.39864750633981,16.1066514846908,334.6438737672576,176.37721419769903,20.813704020648505,Delay-insensitive,1.6106651484690802,266.9,4.939839651286662
bert,76.51372217526064,16.12892260259183,335.068546069315,176.5792622706291,20.735948058877565,Interactive,11.29024582181428,266.9,4.915295475549842
bert,77.12936966694193,19.977980771103145,335.3271891916688,217.1403761831378,24.830686370328557,Interactive,11.986788462661886,266.9,4.900496325406502
bert,77.2291494632535,19.999260547950183,335.3547472245151,217.108663385133,24.718744620878343,Interactive,15.999408438360147,266.9,4.898926090905457
bert,79.22222222222223,23.04338538496583,406.5833010620935,295.6574378583053,30.71552271083504,Interactive,11.521692692482915,266.9,2.9107509485429097
bert,84.35291474324931,24.55138446332684,412.108528126151,299.86619150734793,23.460159320663,Interactive,22.09624601699416,266.9,2.8380463148013497
bert,84.30679357816905,24.540246292456583,412.2707966011702,300.0122071538434,23.540767479671867,Interactive,24.540246292456583,266.9,2.835994616802227
bert,84.73144327791168,24.66536079478772,412.71203807345324,300.3516442545833,22.929680584367986,Delay-insensitive,2.466536079478772,266.9,2.830438717724721
bert,85.64300012255403,24.93022057525877,413.6988684178291,301.0638355333419,21.611867249278024,Delay-insensitive,2.493022057525877,266.9,2.8181339057759667
bert,84.30679357816905,24.540246292456583,412.2707966011702,300.0122071538434,23.540767479671867,Interactive,22.086221663210925,266.9,2.835994616802227
bert,75.94482952944492,16.010638332122827,335.016239504085,176.56975067697377,21.23707726239007,Interactive,14.409574498910544,266.9,4.918302036975979
bert,33.73845024544662,8.728699387073648,321.0199816488501,207.63304898947487,68.79043803152855,Delay-insensitive,0.8728699387073648,266.9,5.931635079474771
bert,72.6754395852119,15.319368957585407,333.83976273669947,175.92650719641878,24.03557237225598,Interactive,7.659684478792704,266.9,4.987166806219841
bert,84.35291474324931,24.55138446332684,412.108528126151,299.86619150734793,23.460159320663,Interactive,22.09624601699416,266.9,2.8380463148013497
bert,72.6754395852119,15.319368957585407,333.83976273669947,175.92650719641878,24.03557237225598,Interactive,12.255495166068329,266.9,4.987166806219841
bert,76.51372217526064,16.12892260259183,335.068546069315,176.5792622706291,20.735948058877565,Delay-insensitive,1.6128922602591833,266.9,4.915295475549842
bert,77.2291494632535,19.999260547950183,335.3547472245151,217.108663385133,24.718744620878343,Interactive,17.999334493155168,266.9,4.898926090905457
bert,72.6754395852119,15.319368957585407,333.83976273669947,175.92650719641878,24.03557237225598,Interactive,10.723558270309786,266.9,4.987166806219841
bert,75.94482952944492,16.010638332122827,335.016239504085,176.56975067697377,21.23707726239007,Delay-insensitive,1.6010638332122828,266.9,4.918302036975979
bert,45.47557003257329,11.765297997579944,324.87468275450715,210.12641797223316,57.28511580516629,Interactive,9.412238398063954,266.9,5.603733687171409
bert,61.965226167538304,16.07821362375407,329.5716088631981,213.78614504286136,40.656538376095426,Interactive,16.07821362375407,266.9,5.258706690977075
bert,76.51372217526064,16.12892260259183,335.068546069315,176.5792622706291,20.735948058877565,Delay-insensitive,1.6128922602591833,266.9,4.915295475549842
bert,76.39864750633981,16.1066514846908,334.6438737672576,176.37721419769903,20.813704020648505,Delay-insensitive,1.6106651484690802,266.9,4.939839651286662
bert,77.12936966694193,19.977980771103145,335.3271891916688,217.1403761831378,24.830686370328557,Interactive,11.986788462661886,266.9,4.900496325406502
bert,77.12936966694193,19.977980771103145,335.3271891916688,217.1403761831378,24.830686370328557,Interactive,9.988990385551572,266.9,4.900496325406502
bert,84.30679357816905,24.540246292456583,412.2707966011702,300.0122071538434,23.540767479671867,Interactive,17.178172404719607,266.9,2.835994616802227
bert,79.22222222222223,23.04338538496583,406.5833010620935,295.6574378583053,30.71552271083504,Interactive,16.13036976947608,266.9,2.9107509485429097
bert,59.81048182586644,12.604221698537458,330.2091434206818,173.96738512640013,34.95832693121976,Delay-insensitive,1.260422169853746,266.9,5.215820742139579
bert,76.39864750633981,16.1066514846908,334.6438737672576,176.37721419769903,20.813704020648505,Delay-insensitive,1.6106651484690802,266.9,4.939839651286662
bert,76.51372217526064,16.12892260259183,335.068546069315,176.5792622706291,20.735948058877565,Interactive,8.064461301295916,266.9,4.915295475549842
bert,76.51372217526064,16.12892260259183,335.068546069315,176.5792622706291,20.735948058877565,Interactive,14.516030342332648,266.9,4.915295475549842
bert,85.64300012255403,24.93022057525877,413.6988684178291,301.0638355333419,21.611867249278024,Delay-insensitive,2.493022057525877,266.9,2.8181339057759667
bert,77.12936966694193,19.977980771103145,335.3271891916688,217.1403761831378,24.830686370328557,Interactive,17.98018269399283,266.9,4.900496325406502
bert,59.81048182586644,12.604221698537458,330.2091434206818,173.96738512640013,34.95832693121976,Interactive,11.343799528683713,266.9,5.215820742139579
