S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
8,0.0,1.0,0.25,beta,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,0.25,beta,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,0.25,beta,0.1,tm_tw_refined_gated_offline,10,95.59676931773126,0.07065192265683594,0.013920925902411337,0.7311000000000001,0.8962,1857.878827643434
8,0.0,1.0,0.25,deterministic,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,0.25,deterministic,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,0.25,deterministic,0.1,tm_tw_refined_gated_offline,10,97.147406403941,0.0698747672101219,0.013405780419612934,0.7699,0.9080999999999999,1245.9864556794928
8,0.0,1.0,0.5,beta,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,0.5,beta,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,0.5,beta,0.1,tm_tw_refined_gated_offline,10,96.11416244711111,0.06805995035058715,0.014537027548171188,0.7605000000000001,0.9172,1752.4796361481197
8,0.0,1.0,0.5,deterministic,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,0.5,deterministic,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,0.5,deterministic,0.1,tm_tw_refined_gated_offline,10,96.62955567637202,0.07086519359914333,0.013807273783255535,0.7266000000000001,0.8913,1471.6935088970022
8,0.0,1.0,1.0,beta,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,1.0,beta,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,1.0,beta,0.1,tm_tw_refined_gated_offline,10,97.41442678660543,0.06940420411158507,0.013940140942270706,0.7863,0.9235,1093.2977136351437
8,0.0,1.0,1.0,deterministic,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,96.73971615207314,0.07001473177819348,0.01413534515802615,0.7449999999999999,0.8915,1438.0200212231466
8,0.0,1.0,2.0,beta,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,2.0,beta,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,2.0,beta,0.1,tm_tw_refined_gated_offline,10,96.27612303378865,0.06837997694272964,0.014276935257424886,0.751,0.8956999999999999,1614.649351910776
8,0.0,1.0,2.0,deterministic,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,2.0,deterministic,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,2.0,deterministic,0.1,tm_tw_refined_gated_offline,10,97.04847332945067,0.06884651756246021,0.013825856962196261,0.7589999999999999,0.9018,1281.3387658867075
8,0.0,1.0,4.0,beta,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,4.0,beta,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,4.0,beta,0.1,tm_tw_refined_gated_offline,10,97.16886177645992,0.06955925182472629,0.014108003850408415,0.7844,0.916,1252.3673447248918
8,0.0,1.0,4.0,deterministic,0.1,oracle,10,100.0,0.11239517897978953,0.024917282148680504,1.0,1.0,0.0
8,0.0,1.0,4.0,deterministic,0.1,tm_tw_refined_dense,10,97.76207992309794,0.11091659846918236,0.019260961320522074,0.7789,0.9119999999999999,990.3788794621462
8,0.0,1.0,4.0,deterministic,0.1,tm_tw_refined_gated_offline,10,97.24740270572073,0.06733354079900342,0.014316669311475752,0.7803,0.9107,1208.446595376559
