policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tm_tw,20261571,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5660.972768155025,566097.2768155024,1040602.9899929052,54.400888932614166,474505.71317740274,0.41,0.56,0.32056033369922765,0.016654736373581946,1.1006862090000595,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262399,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6876.434182869274,687643.4182869274,989825.7999466099,69.47115526025065,302182.3816596825,0.47,0.67,0.3221803288048643,0.016733848556378998,1.0939594999999827,tm_tw_refined_dense,context_noise_refinement
tw,20261463,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6235.509826001515,623550.9826001514,987297.7285278843,63.157339937356134,363746.7459277329,0.42,0.64,0.2488232603300281,0.012952015381891196,1.028341542000021,tw_offline,context_noise_refinement
tm_tw,20261783,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4186.638483866712,418663.84838667116,918585.8057593748,45.5769995314233,499921.9573727036,0.26,0.48,0.253366938612425,0.013113581334589541,1.0429229169999417,tm_tw_offline,context_noise_refinement
tm_tw_refined,20262611,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7107.755542118076,710775.5542118076,990770.0968118896,71.73970596195309,279994.542600082,0.54,0.74,0.24995677489850923,0.012962215506844005,1.0438971250000577,tm_tw_refined_offline,context_noise_refinement
tw,20262075,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,5218.41604865945,521841.604865945,1051332.2564464929,49.63622124843498,529490.6515805479,0.35,0.65,0.25181837793951567,0.013140110624542319,1.0400628340000821,tw_gated_offline,context_noise_refinement
tm_tw,20262395,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,5250.988461691786,525098.8461691786,1019231.2426901362,51.51910814500196,494132.3965209576,0.33,0.53,0.2514169414102329,0.013103176490830665,1.048513165999907,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263223,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,5574.027895755975,557402.7895755975,972927.1207064472,57.291319947054674,415524.33113084966,0.48,0.76,0.2510320229152819,0.013105805277418621,1.0476449999999886,tm_tw_refined_gated_offline,context_noise_refinement
tw,20262355,100,50,2,0.0,0.45,0.1,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,2847.4212061768503,284742.120617685,925480.4453668107,30.766951591811164,640738.3247491256,0.28,0.48,0.0809807644798385,0.0009345585727807322,1.0104102499999499,tw_support_offline,context_noise_refinement
tm_tw,20262675,100,50,2,0.0,0.45,0.1,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,5388.5777923242285,538857.7792324228,998529.7925844397,53.965117839671755,459672.0133520169,0.33,0.6,0.07700424863365624,0.0009746379493112035,1.0239227079999864,tm_tw_support_offline,context_noise_refinement
