model,avgcpu,corehour,avg_power_W,measured_energy_Wh,power_saving_index,vmcategory,qos_cost,power_floor_W,power_calibration_scale
vgg16,78.96858962468312,29.33825247966422,431.50097848265614,400.7759513027115,84.28883500405341,Delay-insensitive,2.933825247966422,266.9,2.621497043701492
vgg16,87.52193402788512,32.55177035887713,443.8863934831672,412.73333669393617,51.501138041580354,Interactive,19.53106221532628,266.9,2.508025530930909
vgg16,89.25093517173154,33.152289619586604,446.2399786688087,414.38997205466137,44.54304673799911,Delay-insensitive,3.315228961958661,266.9,2.488234815132271
vgg16,95.24082604260056,35.381109706443056,455.9488366772818,423.4522232038464,20.15282792874647,Delay-insensitive,3.538110970644306,266.9,2.411804508776824
vgg16,98.09366111336855,34.550244138610026,466.29638663144976,410.5936565169313,3.913653270112098,Interactive,27.64019531088802,266.9,2.338539802595917
vgg16,99.51530543139646,35.04097551474557,468.459881823109,412.3810698626778,0.9993943237867815,Interactive,24.528682860321897,266.9,2.324172238968834
vgg16,99.32213350367294,36.99912803007686,461.2296611306308,429.53908362253674,1.4558507682537054,Delay-insensitive,3.6999128030076864,266.9,2.3734393321490255
vgg16,96.86867406560114,36.021585138137084,461.82017219525744,429.3311230825445,13.443756801529581,Interactive,28.81726811050967,266.9,2.3692784948529506
vgg16,99.37853720855956,37.03440567677364,461.14684733312004,429.6274603252311,1.3349874038659277,Delay-insensitive,3.703440567677364,266.9,2.3740248743511634
vgg16,99.53745090071789,35.042159592761934,468.69451307056704,412.5097583534813,0.9540300858574551,Delay-insensitive,3.504215959276193,266.9,2.3226325926248834
vgg16,99.29980836793357,37.0019331272897,461.229876716703,429.66842874821435,1.5042511918631714,Delay-insensitive,3.7001933127289695,266.9,2.373437808480117
vgg16,98.64926064322442,36.77092000505856,461.7421989077328,430.2790854257213,2.905974475409611,Interactive,29.416736004046847,266.9,2.369826462112501
vgg16,99.56792631721522,35.04602933531861,468.72447006636776,412.45539943738356,0.8910556170968739,Interactive,31.541426401786747,266.9,2.3224362730259256
vgg16,99.5535012867398,35.06196884839073,468.7143823648945,412.69389978400477,0.9213364761194636,Delay-insensitive,3.5061968848390728,266.9,2.3225023750657474
vgg16,99.3841461467216,37.02633663455387,461.45545239692046,429.79704471864454,1.3234608305882127,Interactive,37.02633663455387,266.9,2.371845387583826
vgg16,99.56792631721522,35.04602933531861,468.72447006636776,412.45539943738356,0.8910556170968739,Interactive,24.532220534723024,266.9,2.3224362730259256
vgg16,99.51530543139646,35.04097551474557,468.459881823109,412.3810698626778,0.9993943237867815,Delay-insensitive,3.504097551474557,266.9,2.324172238968834
vgg16,78.96858962468312,29.33825247966422,431.50097848265614,400.7759513027115,84.28883500405341,Delay-insensitive,2.933825247966422,266.9,2.621497043701492
vgg16,95.24082604260056,35.381109706443056,455.9488366772818,423.4522232038464,20.15282792874647,Interactive,17.690554853221528,266.9,2.411804508776824
vgg16,98.64926064322442,36.77092000505856,461.7421989077328,430.2790854257213,2.905974475409611,Interactive,18.38546000252928,266.9,2.369826462112501
vgg16,95.24082604260056,35.381109706443056,455.9488366772818,423.4522232038464,20.15282792874647,Delay-insensitive,3.538110970644306,266.9,2.411804508776824
vgg16,96.86867406560114,36.021585138137084,461.82017219525744,429.3311230825445,13.443756801529581,Delay-insensitive,3.6021585138137087,266.9,2.3692784948529506
vgg16,99.53745090071789,35.042159592761934,468.69451307056704,412.5097583534813,0.9540300858574551,Interactive,21.02529575565716,266.9,2.3226325926248834
vgg16,95.24082604260056,35.381109706443056,455.9488366772818,423.4522232038464,20.15282792874647,Delay-insensitive,3.538110970644306,266.9,2.411804508776824
vgg16,99.51530543139646,35.04097551474557,468.459881823109,412.3810698626778,0.9993943237867815,Delay-insensitive,3.504097551474557,266.9,2.324172238968834
vgg16,89.25093517173154,33.152289619586604,446.2399786688087,414.38997205466137,44.54304673799911,Delay-insensitive,3.315228961958661,266.9,2.488234815132271
vgg16,98.09366111336855,34.550244138610026,466.29638663144976,410.5936565169313,3.913653270112098,Delay-insensitive,3.4550244138610027,266.9,2.338539802595917
vgg16,96.86867406560114,36.021585138137084,461.82017219525744,429.3311230825445,13.443756801529581,Delay-insensitive,3.6021585138137087,266.9,2.3692784948529506
vgg16,99.32213350367294,36.99912803007686,461.2296611306308,429.53908362253674,1.4558507682537054,Interactive,36.99912803007686,266.9,2.3734393321490255
vgg16,99.37853720855956,37.03440567677364,461.14684733312004,429.6274603252311,1.3349874038659277,Interactive,22.22064340606418,266.9,2.3740248743511634
vgg16,99.37853720855956,37.03440567677364,461.14684733312004,429.6274603252311,1.3349874038659277,Delay-insensitive,3.703440567677364,266.9,2.3740248743511634
vgg16,99.56792631721522,35.04602933531861,468.72447006636776,412.45539943738356,0.8910556170968739,Interactive,28.036823468254887,266.9,2.3224362730259256
vgg16,99.29980836793357,37.0019331272897,461.229876716703,429.66842874821435,1.5042511918631714,Interactive,33.30173981456073,266.9,2.373437808480117
vgg16,87.52193402788512,32.55177035887713,443.8863934831672,412.73333669393617,51.501138041580354,Interactive,29.296593322989416,266.9,2.508025530930909
vgg16,99.32213350367294,36.99912803007686,461.2296611306308,429.53908362253674,1.4558507682537054,Delay-insensitive,3.6999128030076864,266.9,2.3734393321490255
vgg16,96.86867406560114,36.021585138137084,461.82017219525744,429.3311230825445,13.443756801529581,Interactive,36.021585138137084,266.9,2.3692784948529506
vgg16,96.86867406560114,36.021585138137084,461.82017219525744,429.3311230825445,13.443756801529581,Delay-insensitive,3.6021585138137087,266.9,2.3692784948529506
vgg16,99.3841461467216,37.02633663455387,461.45545239692046,429.79704471864454,1.3234608305882127,Interactive,22.215801980732323,266.9,2.371845387583826
vgg16,99.37853720855956,37.03440567677364,461.14684733312004,429.6274603252311,1.3349874038659277,Delay-insensitive,3.703440567677364,266.9,2.3740248743511634
vgg16,87.52193402788512,32.55177035887713,443.8863934831672,412.73333669393617,51.501138041580354,Delay-insensitive,3.255177035887713,266.9,2.508025530930909
