model,datacenters,weighted_states,avgcpu,corehour,avg_power_W,measured_energy_Wh,power_saving_index,qos_cost,interactive_share
bert,0|5|7,85.5,71.67511273207276,17.75003427036107,353.3901606617393,219.90373259549162,33.22856712829769,9.024162773128046,0.6198830409356725
inception3,1|4|5,54.5,78.12734892775757,48.22660100672558,435.10309437252914,666.2057808353812,120.0311262771653,18.535103463783294,0.43119266055045874
resnet50,2|4|5,53.5,84.10085959353319,26.201269404154807,428.30210385921674,337.058092158815,38.2440543754224,9.79141239279578,0.4485981308411215
vgg16,3|4|5,55.0,95.89026035944701,35.604541785382416,458.4964147329507,426.32410400948436,16.290218398349456,13.407114216527019,0.41818181818181815
unlabeled,4|5|6,71.5,41.45989750567267,10.336995251896242,356.67811940945205,251.57364789778634,142.58439108946197,3.022503650741897,0.42657342657342656
