scenario,ercot_time,seed,n_dc,n_jobs,budget,workload_datacenter_ids,workload_datacenter_dir,ercot_datacenters,delay_weight,job_graph_prior_enabled,job_graph_lookahead_batches,job_graph_corehour_cap,job_graph_path_weight_mode,reward_prior_mean,mix_warmup_rounds,mix_trust_max,mix_reward_score_mode,mix_whittle_guard,mix_reward_conf_scale,mix_trans_conf_scale,exp4_initial_weight_mode,exp4_initial_weight_scale,policy,avg_reward,cum_reward,oracle_avg_reward,cum_reward_over_oracle_pct,avg_wall_time_s
late_afternoon_peak,19:00,44,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,20,0.98,greedy,False,1.0,2.0,uniform,0.0,Oracle Whittle,32.003466377832694,32003.466377832694,32.003466377832694,100.0,0.09119995899999367
late_afternoon_peak,19:00,44,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,20,0.98,greedy,False,1.0,2.0,uniform,0.0,TW only,31.6683306668309,31668.3306668309,32.003466377832694,98.95281433878074,18.008242792000033
late_afternoon_peak,19:00,44,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,20,0.98,greedy,False,1.0,2.0,uniform,0.0,State Thompson,31.43452546692418,31434.525466924177,32.003466377832694,98.22225222670693,0.11195391600000448
late_afternoon_peak,19:00,44,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,20,0.98,greedy,False,1.0,2.0,uniform,0.0,Local + Global + TW,31.6683306668309,31668.3306668309,32.003466377832694,98.95281433878074,17.981545665999988
late_afternoon_peak,19:00,45,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,20,0.98,greedy,False,1.0,2.0,uniform,0.0,Oracle Whittle,31.91458354644002,31914.583546440022,31.91458354644002,100.0,0.09063274999999749
late_afternoon_peak,19:00,45,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,20,0.98,greedy,False,1.0,2.0,uniform,0.0,TW only,31.571634598924163,31571.634598924164,31.91458354644002,98.92541619094976,18.01533895900002
late_afternoon_peak,19:00,45,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,20,0.98,greedy,False,1.0,2.0,uniform,0.0,State Thompson,20.423415627862887,20423.415627862887,31.91458354644002,63.993990703792406,0.11212854199999356
late_afternoon_peak,19:00,45,5,40,2,0|1|2|3|4,datasets/mit_gpu_datacenter_with_metrics,Denton Data center|QTS_Irving|Houston One Data Center|Oracle-Austin Data Center|Microsoft San Antonio Data Center,1.0,True,3,85.0,equal_uniform,-0.1,20,0.98,greedy,False,1.0,2.0,uniform,0.0,Local + Global + TW,31.571634598924163,31571.634598924164,31.91458354644002,98.92541619094976,18.31455029199998
